2013-11-21 17:23:48,100: ugi=root	ip=/127.0.0.1	cmd=setPermission	src=/root/hadoop-0.22.0/data/tmp/mapred/system	dst=null	perm=root:supergroup:rwx------
2013-11-21 17:24:22,541: ugi=root	ip=/127.0.0.1	cmd=open	src=a	dst=null	perm=null
2013-11-21 17:24:22,553: ugi=root	ip=/127.0.0.1	cmd=open	src=b	dst=null	perm=null
2013-11-21 17:24:22,902: ugi=root	ip=/127.0.0.1	cmd=open	src=c	dst=null	perm=null
2013-11-21 17:24:29,728: ugi=root	ip=/127.0.0.1	cmd=open	src=e	dst=null	perm=null
2013-11-21 17:24:35,832: ugi=root	ip=/127.0.0.1	cmd=open	src=d	dst=null	perm=null
2013-11-21 17:24:41,706: ugi=root	ip=/127.0.0.1	cmd=open	src=a	dst=null	perm=null
2013-11-21 17:24:48,643: ugi=root	ip=/127.0.0.1	cmd=open	src=b	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=c	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=e	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=f	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=a	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=g	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=b	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=c	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=h	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=a	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=b	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=i	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=j	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=c	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=a	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=k	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=l	dst=null	perm=null
2013-11-21 17:24:54,697: ugi=root	ip=/127.0.0.1	cmd=open	src=c	dst=null	perm=null
